category_tree,service_name,stats_category
EPILAZIONE,Braccia totale,Ceretta
EPILAZIONE,Schiena / Petto,Epilazione laser
EPILAZIONE,Gambe + inguine,Ceretta
EPILAZIONE,Gambe + inguine + gluteo,Ceretta
EPILAZIONE,Gambe,Ceretta
EPILAZIONE,Gambe parziale inferiore,Epilazione laser
EPILAZIONE,Gambe parziale superiore,Ceretta
EPILAZIONE,Gamba uomo,Epilazione laser
LASER,Schiena ,Epilazione laser
LASER,Braccia,Epilazione laser
LASER,Gambe parziale inferiore,Epilazione laser
LASER,Gambe parziale superiore,Epilazione laser
LASER,Gambe complete,Epilazione laser
LASER,Inguine completo ,Epilazione laser
LASER,Inguine Parziale ,Ceretta
LASER,Addome / lombare,Epilazione laser
LASER,Ascelle,Epilazione laser
LASER,Labiale ,Epilazione laser
LASER,Viso Completo,Epilazione laser
TRATTAMENTI CORPO,Peeling parziale,Ceretta
TRATTAMENTI CORPO,Peeling totale,Ceretta
TRATTAMENTI CORPO,Trattamento osmotico,Trattamenti Corpo
TRATTAMENTI CORPO,Modelagge adipe,Trattamenti Corpo
TRATTAMENTI CORPO,Modelagge cellulite,Trattamenti Corpo
TRATTAMENTI CORPO,Modelagge edema / alterazioni circolatorie,Trattamenti Corpo
TRATTAMENTI VISO,Igiene cosmetica,Trattamenti viso
TRATTAMENTI VISO,Igiene cosmetica biologica,Trattamenti viso
TRATTAMENTI VISO,Glyco keenwell,Ceretta
TRATTAMENTI VISO,Trattamento viso express,Barba
TRATTAMENTI VISO,Trattamento viso specifico,Barba
CIGLIA,Exstension Ciglia One to one da,Ciglia/Sopracciglia
CIGLIA,Refill,Ciglia/Sopracciglia
TRATTAMENTI SOPRACCIGLIA,Microblading,Ciglia/Sopracciglia
TRATTAMENTI SOPRACCIGLIA,Ritocco MICROBLADING,Ciglia/Sopracciglia
CIGLIA,Laminazione ciglia,Ciglia/Sopracciglia
TRATTAMENTI SOPRACCIGLIA,Henné,Ciglia/Sopracciglia
TRUCCO,TRUCCO da giorno,Makeup/Trucco
MANI,semipermanente unghia lunga,Manicure
MANI,Copertura gel / acrilico (unghia naturale LUNGA),Manicure
LASER,Mento,Epilazione laser
MANI,Manicure con applicazione smalto,Manicure
PIEDI,Pedicure estetico con smalto,Pedicure
PIEDI,Pedicure curativo con applicazione smalto da,Epilazione laser
LASER,Petto,Epilazione laser
MASSAGGI,Massaggio in gravidanza ,Massaggio
MASSAGGI,Moxa,Balayage
TRATTAMENTI CORPO,Pressoterapia + massaggio,Presso terapia
MASSAGGI,Ayurveda (60 min),Massaggio
MANI,Limatura + taglio unghie,Epilazione laser
MANI,Riparazione unghia,Epilazione laser
MANI,Manicure spa,Manicure
PIEDI,Pedicure spa,Pedicure
MASSAGGI,massaggio in gravidanza 30 min,Massaggio
MASSAGGI,MASSAGGIO EMO-MORFO-LINFATICO,Massaggio
MASSAGGI,Rassodante ,Balayage
TRATTAMENTI VISO,Trattamento funzionale,Barba
MANI,Semipermanente con rinforzo,Manicure
TRATTAMENTI SOPRACCIGLIA,Laminazione sopracciglia,Ciglia/Sopracciglia
CIGLIA,Laminazione ciglia + laminazione sopracciglia,Ciglia/Sopracciglia
TRATTAMENTI SOPRACCIGLIA,Laminazione sopracciglia+ laminazione ciglia,Ciglia/Sopracciglia
TRATTAMENTI CORPO,Pressoterapia + fango + massaggio,Trattamenti Corpo
TRATTAMENTI CORPO,Pressoterapia + bendaggio + massaggio,Massaggio
TRATTAMENTI CORPO,TRILOGY Acqua e volume (11 sedute),Ciglia/Sopracciglia
TRATTAMENTI CORPO,TRILOGY Remise en forme (11 sedute),Trattamenti Corpo
TRATTAMENTI CORPO,TRILOGY  Tone up ( 6 sedute) ,Trattamenti Corpo
TRATTAMENTI VISO,Trattamento Contorno Occhi,Barba
TRATTAMENTI CORPO,Opening DETOX (5 sedute + omaggio),Trattamenti viso
TRATTAMENTI CORPO,TRILOGY Acqua e volume (11 sedute),Ciglia/Sopracciglia
LASER,Glutei,Epilazione laser
TRATTAMENTI VISO,BEAUTY RENEW VISO (5 sedute),Trattamenti viso
PIEDI,Rimozione Semipermanente,Manicure
TRATTAMENTI CORPO,Diagnosi Corpo,Trattamenti Corpo
LASER,Labiale *,Epilazione laser
MASSAGGI,Antistress Total Body 60 minuti,Massaggio
MASSAGGI,Massaggio Decontratturante- Posturale,Massaggio
Grotta del Sale,Massaggio grotta,Trattamenti Corpo
EpilFree > Viso,Labbro ,Ceretta
EpilFree > Viso,Mento,Epilazione laser
EpilFree > Viso,Sopracciglia,Ciglia/Sopracciglia
EpilFree > Viso,Naso / Orecchie,Ceretta
EpilFree > Viso,Labbro + Sopracciglia,Ciglia/Sopracciglia
EpilFree > Viso,Labbro + Mento,Epilazione laser
EpilFree > Viso,Sopracciglia + Labbro + Mento,Ciglia/Sopracciglia
EpilFree > Viso,Viso Completo,Epilazione laser
EpilFree > Intimo,Ascelle,Ceretta
EpilFree > Intimo,Bikini,Ceretta
EpilFree > Intimo,Brazilian,Balayage
EpilFree > Intimo,Hollywood (integrale),Ceretta
EpilFree > Corpo,1/2 Gamba,Trattamenti Corpo
EpilFree > Corpo,3/4 Gamba,Trattamenti Corpo
EpilFree > Corpo,Gambe Complete,Epilazione laser
EpilFree > Corpo,1/2 Braccio,Trattamenti Corpo
EpilFree > Corpo,Braccia Complete,Ceretta
EpilFree > Corpo,Petto / Pancia,Ceretta
EpilFree > Corpo,Schiena,Epilazione laser
nan,maggiorazione,Balayage
Uomo,Barba,Barba
Uomo,Taglio uomo + shampoo,Ceretta
Uomo,permanente,Permanente
Uomo,taglio uomo razor + shampoo,Ceretta
Donna,piega corta,Piega
Donna,piega lunga,Piega
Donna,taglio donna e piega corta,Consulenza
Uomo,taglio e piega lunga,Barba
Donna,applicazione colore  ,Consulenza
applicazioni tecniche,servizio tecnico ,Balayage
Servizi Non prenotabili,Shampoo Corti,Shampoo
Servizi Non prenotabili,Taglio corti,Taglio
Servizi Non prenotabili,Taglio Medi ,Taglio
Servizi Non prenotabili,Taglio Lunghi,Taglio
Servizi Non prenotabili,Piega corti,Piega
Servizi Non prenotabili,Piega Media,Manicure
Servizi Non prenotabili,Piega Lunga,Piega
Servizi Non prenotabili,App. ritocco colore corti,Colore
Servizi Non prenotabili,App. Ritocco Colore Medi,Colore
Servizi Non prenotabili,App. Ritocco Colore Lunghi,Colore
Servizi Non prenotabili,App. Colore Completo Corti,Colore
Servizi Non prenotabili,App. Colore Completo Medi,Colore
Servizi Non prenotabili,App. Colore Completo Lunghi,Colore
Servizi Non prenotabili,App. Meches Corti,Meches
Servizi Non prenotabili,App. Meches Medi,Meches
Servizi Non prenotabili,App. Meches Lunghi,Meches
Servizi Non prenotabili,App. Permanente Corti,Permanente
Servizi Non prenotabili,App. Permanente Medie,Permanente
Servizi Non prenotabili,App. Permanente Lunghi,Permanente
Servizi Non prenotabili,App. Stiraggio Corti,Piega
Servizi Non prenotabili,App. Stiraggio Medie,Piega
Servizi Non prenotabili,App. Stiraggio Lunghi,Piega
Servizi Non prenotabili,App. Tonalizzante Corti,Tonalizzante
Servizi Non prenotabili,Shampoo Medi,Shampoo
Servizi Non prenotabili,Shampoo Lunghi,Shampoo
Servizi Non prenotabili,App. Degradè Corti,Degradè
Servizi Non prenotabili,App. Degradè Medi,Degradè
Servizi Non prenotabili,App. Degradè Lunghi,Degradè
Servizi Non prenotabili,App. Tonalizzante Medi,Tonalizzante
Servizi Non prenotabili,App. Tonalizzante Lunghi,Tonalizzante
Servizi Non prenotabili,Taglio bambina fino a 11 anni,Taglio
Femminile > Capelli Corti > Senza Taglio,App. Balayage Corti,Balayage
Servizi Non prenotabili,App. Balayage  Medi,Balayage
Servizi Non prenotabili,App. Balayage  Lunghi,Balayage
Servizi Non prenotabili,App. Ricostruzione Corti,Trattamento capelli
Servizi Non prenotabili,App. Ricostruzione Medi,Trattamento capelli
Servizi Non prenotabili,App. Ricostruzione Lunghi,Trattamento capelli
Femminile > Capelli Corti > Senza Taglio,"Aggiunta Piega Piastra/ Onde/ Babyliss, Frisè",Piega Frisè
Femminile > Capelli Medi > Senza Taglio,"Aggiunta Piega Piastra/ Onde/ Babyliss, Frisè",Piega Frisè
Femminile > Capelli Lunghi > Senza Taglio,"Aggiunta Piega Piastra/ Onde/ Babyliss, Frisè",Piega Frisè
Femminile > Capelli Corti > Con Taglio,"Aggiunta Piega Piastra/ Onde/ Babyliss, Frisè",Piega Frisè
Femminile > Capelli Medi > Con Taglio,"Aggiunta Piega Piastra/ Onde/ Babyliss, Frisè",Piega Frisè
Femminile > Capelli Lunghi > Con Taglio,"Aggiunta Piega Piastra/ Onde/ Babyliss, Frisè",Piega Frisè
Maschile > STILISTICO,Taglio +Shampoo,Taglio
Maschile > STILISTICO,Taglio + Shampoo + Barba,Taglio e barba
Maschile > BARBA,Barba all' Italiana ,Barba
Maschile > BARBA,Modellatura Barba,Barba
Maschile > BARBA,Trattamento Igienizzante,Barba
Maschile > STILISTICO,Taglio Baby Da (0 A 10),Taglio
Maschile > BARBA,Trattamento Igienizzante + Maschera Depot,Barba
Maschile > STILISTICO,Taglio ( Rasata),Taglio
Estetica > ESTETICA UOMO,Cera ascelle                                                                                                               ,Ceretta
Estetica > ESTETICA UOMO,Cera Braccia                                                                   ,Ceretta
Estetica > ESTETICA UOMO,Cera Dorso,Ceretta
Estetica > ESTETICA UOMO,Cera Schiena,Ceretta
Estetica > ESTETICA UOMO,Cera Completa Gamba,Ceretta
Estetica > ESTETICA UOMO,Cera Total Body ,Ceretta
Estetica > SERVIZI ESTETICA DONNA > MASSAGGI,Total Body**,Consulenza
Estetica > SERVIZI ESTETICA DONNA > MASSAGGI,Gambe + Glutei,Ceretta
Estetica > SERVIZI ESTETICA DONNA > MASSAGGI,Dorso + Schiena,Ceretta
Estetica > SERVIZI ESTETICA DONNA > MASSAGGI,Braccia + Viso,Ceretta
Estetica > SERVIZI ESTETICA DONNA > MASSAGGI,Total Body,Consulenza
Estetica > SERVIZI ESTETICA DONNA > MASSAGGI,Gambe + Glutei,Ceretta
Estetica > SERVIZI ESTETICA DONNA > MASSAGGI,Dorso + Schiena,Ceretta
Estetica > SERVIZI ESTETICA DONNA > MASSAGGI,Braccia + Viso,Ceretta
Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA,Sopracciglia,Consulenza
Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA,Baffetto,Consulenza
Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA,Sopracciglia + Baffetto,Consulenza
Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA,Manicure,Consulenza
Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA,Pedicure ,Consulenza
Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA,Cera ascelle                                                                                                                ,Consulenza
Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA,Gambaletto,Consulenza
Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA,Coscia,Consulenza
Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA,Inguine ,Consulenza
Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA,Cera Braccia,Consulenza
Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA,Semipermanente Mani,Consulenza
Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA,Semipermanente Piedi,Consulenza
Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA,Copertura in gel,Consulenza
Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA,Ricostruzione  in gel,Consulenza
Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA,Ricostruzione  unghia,Consulenza
Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA,Tinta sopracciglia ,Consulenza
Estetica > Laser a Diodo 808,Viso Completo,Epilazione laser
Estetica > Laser a Diodo 808,Basette,Epilazione laser
Estetica > Laser a Diodo 808,Mento e Sottomento,Epilazione laser
Estetica > Laser a Diodo 808,Orecchie,Epilazione laser
Estetica > Laser a Diodo 808,Naso,Epilazione laser
Estetica > Laser a Diodo 808,Zigomi Uomo,Epilazione laser
Estetica > Laser a Diodo 808,Zigomi + Guancia Donna ,Consulenza
Estetica > Laser a Diodo 808,Mani / Piedi,Epilazione laser
Estetica > Laser a Diodo 808,Ascelle,Epilazione laser
Estetica > Laser a Diodo 808,Inguine Base,Colore
Estetica > Laser a Diodo 808,Inguine Brasiliana,Ceretta
Estetica > Laser a Diodo 808,Braccia Parziale ,Epilazione laser
Estetica > Laser a Diodo 808,Braccia Totale ( Compreso Mani),Epilazione laser
Estetica > Laser a Diodo 808,Addome,Epilazione laser
Estetica > Laser a Diodo 808,Torace,Ceretta
Estetica > Laser a Diodo 808,Addome + Torace,Epilazione laser
Estetica > Laser a Diodo 808,Schiena parziale + Spalle,Epilazione laser
Estetica > Laser a Diodo 808,Schiena Totale + Spalle,Epilazione laser
Estetica > Laser a Diodo 808,Glutei Parziale,Epilazione laser
Estetica > Laser a Diodo 808,Glutei Totale,Epilazione laser
Estetica > Laser a Diodo 808,Inguine + Glutei Totale,Epilazione laser
Estetica > Laser a Diodo 808,Gambe Parziale ,Epilazione laser
Estetica > Laser a Diodo 808,Labbro Superiore,Ceretta
Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA,Cera Gamba Completa,Ceretta
Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA,Laminazione Sopracciglia,Consulenza
Maschile > STILISTICO,barba modellata lunga,Barba
nan,Piega,Piega
Servizi Non prenotabili,Montaggio Presso terapia,Presso terapia
Servizi Non prenotabili,Trattamento Presso terapia,Presso terapia
SERVIZI DONNA,PIEGA CORTA,Piega
SERVIZI DONNA,PIEGA MEDIA,Manicure
SERVIZI DONNA,PIEGA LUNGA,Piega
SERVIZI DONNA,PIEGA LUNGA,Piega
SERVIZI DONNA,TAGLIO CAPELLI CORTI,Taglio
SERVIZI DONNA,TAGLIO CAPELLI LUNGHI,Taglio
SERVIZI DONNA,COLORE RICRESCITA CAPELLI CORTI,Colore
SERVIZI DONNA,COLORE RICRESCITA CAPELLI LUNGHI,Colore
SERVIZI DONNA,COLORE COMPLETO (COMPRESO LUNGHEZZA) CORTI,Colore
SERVIZI DONNA,COLORE COMPLETO(COMPRESO LUNGHEZZA) CAPELLI LUNGHI,Colore
SERVIZI DONNA,COLORE RIFLESSANTE (SHINFINITY) CORTI ,Colore
SERVIZI DONNA,COLORE RIFLESSANTE (SHINFINITY) LUNGHI,Riflessante
SERVIZI DONNA,MASCHERA COLORANTE (PASSION FRUIT) CORTI,Consulenza
SERVIZI DONNA,MASCHERA COLORANTE (PASSION FRUIT) LUNGHI,Consulenza
SERVIZI DONNA,COLORE 10 MINUTI CAPELLI CORTI ,Colore
SERVIZI DONNA,COLORE 10 MINUTI CAPELI LUNGHI,Colore
SERVIZI DONNA,MECHES CAPELLI CORTI ,Meches
SERVIZI DONNA,MECHES CAPELLI MEDI ,Meches
SERVIZI DONNA,MECHES CAPELLI LUNGHI ,Meches
SERVIZI DONNA,BALAYAGE- VERTICAL da concordare,Balayage
SERVIZI DONNA,PERMANENTE CAPELLI CORTI,Permanente
SERVIZI DONNA,PERMANENTE CAPELLI LUNGHI,Permanente
SERVIZI DONNA,TRATTAMENTO LISCIANTE (SHAPEGO),Consulenza
SERVIZI DONNA,PIASTRA -FERRO CAPELLI CORTI,Consulenza
SERVIZI DONNA,PIASTRA-FERRO CAPELLI LUNGHI,Consulenza
SERVIZI DONNA,ACCONCIATURA DA..,Piega
SERVIZI DONNA,ACCONCIATURA SPOSA (da concordare),Piega
SERVIZI DONNA,TRATTAMEMTO RICOSTRUZIONE BASE DA...,Ceretta
SERVIZI DONNA,TRATTAMENTO RICOSTRUZIONE GHIACCIO da...,Ceretta
SERVIZI DONNA,TRATTAMENTO CURATIVO da...,Ceretta
SERVIZIO UOMO,TAGLIO BAMBINO/RAGAZZO (0-15 ANNI),Taglio
SERVIZIO UOMO,TAGLIO RAGAZZO/ UOMO (16 ANNI IN POI) da,Ceretta
SERVIZIO UOMO,BARBA / PULIZIA COLLO DA ,Barba
SERVIZIO UOMO,SHAMPOO+PIEGA/PIASTRA da...,Piega
SERVIZIO UOMO,TRATTAMENTO CURATIVO DA...,Ceretta
SERVIZIO UOMO,TRATTAMENTO RICOSTRUZIONE DA...,Ceretta
SERVIZIO UOMO,TRATTAMENTO PERMANENTE/LISCIANTE  DA...,Permanente
SERVIZIO UOMO,COLORE/ MECHES DA...,Ceretta
SERVIZIO UOMO,ASSISTENZA IMPIANTO da concordare,Ceretta
SERVIZI DONNA,CERETTA da concordare,Ceretta
PETTINATA,PETTINATA,Balayage
PETTINATA,PETTINATA CAPELLI LUNGHI,Piega
SERVIZIO UOMO,CONSULENZA PROTESI ,Consulenza
Uomo,Shampoo e Piega,Piega
Uomo,Piega,Piega
Uomo,Taglio Bambino,Ceretta
Uomo,Barba Lametta,Barba
Uomo,Rasata Macchinetta,Barba
Uomo,Barba Macchinetta,Barba
Uomo,Linee Barba,Barba
Uomo,Peli e Sopracciglia,Ciglia/Sopracciglia
Uomo,Barba Macchinetta e Linee,Barba
Uomo,Barba In Testa,Barba
Uomo,Trattamenti Tecnici,Ceretta
Uomo,Pulita Al Collo,Ceretta
Uomo,Barba a Vapore,Barba
Donna,Shampoo e Taglio ,Taglio
Donna,Shampoo e Piega ,Piega
Donna,Colore ,Colore
Donna,Trattamento Specifico ,Consulenza
Uomo,Shampoo e Taglio ,Taglio
Uomo,Taglio Con Risciacquo,Ceretta
Uomo,Taglio Con Risciacquo,Ceretta
Uomo,Shampoo e Taglio ,Taglio
 Laser,LASER INGUINE TOTALE,Epilazione laser
Mani,SEMIPERMANENTE,Manicure
Mani,GEL MANI,Epilazione laser
Mani,RICOSTRUZIONE GEL,Epilazione laser
 Laser,LASER COSCIA,Ceretta
 Laser,LASER GAMBALETTO,Epilazione laser
 Laser,LASER GAMBE,Epilazione laser
 Laser,LASER BRACCIA,Epilazione laser
 Laser,LASER ASCELLE,Epilazione laser
 Laser,LASER VISO TOTALE,Epilazione laser
Epilazione,CERA GAMBE,Ceretta
Epilazione,CERA INGUINE,Ceretta
Epilazione,CERA LABBRO + SOPRACCIGLIA,Ceretta
Epilazione,CERA BRACCIA,Ceretta
Epilazione,1/2 CERA + inguine,Ceretta
Piedi,CALLUS MAVEX CURATIVO,Epilazione laser
Piedi,PEDICURE CLASSICA,Epilazione laser
Viso,TRATTAMENTO PERLA NERA,Barba
Viso,TRATTAMENTO GRANODERMA,Barba
Viso,TRATTAMENTO WHITE PERFECTION,Barba
Viso,TRATTAMENTO BEAUTY LIGHT,Barba
Viso,PULIZIA VISO,Trattamenti viso
Corpo,PEELING CORPO,Trattamenti Corpo
Corpo,BODY BLACK,Trattamenti Corpo
Corpo,BODY SHAPE,Trattamenti Corpo
Corpo,PRESSOTERAPIA,Trattamenti Corpo
Corpo,TRATTAMENTO ROBEUS,Trattamenti Corpo
Piedi,SEMI PIEDI,Epilazione laser
Epilazione,CERA GLUTEI,Ceretta
Epilazione,CERA ADDOME,Ceretta
 Laser,LASER SCHIENA,Epilazione laser
Make-up,TRUCCO GIORNO,Makeup/Trucco
Make-up,TRUCCO SPOSA,Makeup/Trucco
Dermopigmentazione ,DERMOPIGMENTAZIONE ,Balayage
Dermopigmentazione ,RITOCCO TATUAGGIO,Colore
Mani,MANICURE,Manicure
Epilazione,CERA ASCELLE,Ceretta
Ciglia,LAMINAZIONE,Ciglia/Sopracciglia
Ciglia,EXTENCION,Ciglia/Sopracciglia
Ciglia,EXTENCION VOLUME,Ciglia/Sopracciglia
Piedi,SEMIPERMANENTE + SEMI PIEDI,Epilazione laser
Varie,SEMIPERMANENTE + PEDICURE,Pedicure
Epilazione,CERA BRACCIA + L+S,Ceretta
Mani,MANICURE + L+ S,Manicure
Varie,SMALTO ,Manicure
 Laser,LASER MENTO,Epilazione laser
Ciglia,CIUFFETTI CIGLIA,Ciglia/Sopracciglia
Epilazione,CERA COSCIA,Ceretta
Epilazione,CERA GAMBALETTO,Ceretta
 Laser,LASER BAFFO,Epilazione laser
Epilazione,SOPRACCIGLIA,Ciglia/Sopracciglia
Epilazione,CERA LABBRO,Ceretta
Dermopigmentazione ,HENNè SOPRACCIGLIA,Ciglia/Sopracciglia
Corpo,TRATTAMENTO CELLULITE/ADIPE FANGO,Trattamenti Corpo
 Laser,LASER PANCIA,Ceretta
Mani,Rimozione semipermanente ,Manicure
Mani,SEMIPERMANENTE CON RINFORZO,Manicure
 Laser,LASER INGUINE ,Epilazione laser
Viso,TRATTAMENTO OCCHI,Barba
nan,Piega,Piega
nan,Taglio Capelli lunghi,Taglio
nan,Ritocco colore,Colore
nan,Colore Completo,Colore
nan,Meches,Meches
nan,Punti Luce,Colore
nan,Shatush,Balayage
nan,Degradè ,Degradè
nan,Permanente,Permanente
nan,Stiratura Crema,Balayage
nan,Extension 100 ciocche,Ciglia/Sopracciglia
nan,Keratina Lisciante,Keratina
nan,Piastra,Piega piastra
nan,Shampoo Specifico,Shampoo
nan,Maschera Specifici,Keratina
nan,Taglio Capelli corti,Taglio
nan,Shampoo,Shampoo
Colore,Colore ricrescita,Colore
Colore,Colore senza ammoniaca,Colore
Colore,Decolorazione,Colore
Piega,Pettinata,Piega
Piega,Piastra,Piega piastra
Trattamento,Shampoo,Shampoo
Taglio > Bundle,Taglio,Taglio
nan,Consulenza ad hoc ,Consulenza
Servizi Uomo,Taglio,Ceretta
Servizi Uomo,Shampoo + Taglio,Taglio
Servizi Uomo,Shampoo + Lozione,Shampoo
Servizi Uomo,Lozione,Ceretta
Servizi Uomo,Barba,Barba
Servizi Uomo,Sfumatura,Ceretta
Servizi Donna,Shampo e Piega (capelli corti),Piega
Servizi Donna,Shampo e Piega (capelli media lunghezza),Manicure
Servizi Donna,Shampo e Piega (capelli lunghi),Piega
Servizi Donna,"Shampo, Taglio e Piega (capelli corti)",Taglio
Servizi Donna,"Shampo, Taglio e Piega (capelli media lunghezza)",Manicure
Servizi Donna,"Shampo, Taglio e Piega (capelli lunghi)",Taglio
Servizi Uomo,Shampoo + Taglio + barba,Taglio e barba
Servizi Uomo,Taglio e Barba,Taglio e barba
Servizi Uomo,Taglio bambino,Ceretta
Servizi Donna,Pettinata,Balayage
Servizi Uomo,App. Colore,Colore
Servizi Uomo,App. Stiraggio ,Piega
Depilazione Donna,Depilazione Labbro ,Ceretta
Depilazione Donna,Depilazione Sopracciglia,Ciglia/Sopracciglia
Depilazione Donna,Depilazione Inguine,Ceretta
Depilazione Donna,Depilazione Ascelle,Ceretta
Depilazione Donna,Depilazione Braccia,Ceretta
Depilazione Donna,Depilazione Gambe ( piu inguine),Ceretta
Depilazione Donna,Depilazione Gambaletto O Coscia,Ceretta
Depilazione Donna,"Depilazione Totale (gamba intera,ascelle,braccia)",Ceretta
Trattamenti Mani,Manicure,Manicure
Trattamenti Mani,Manicure Con Paraffina,Manicure
Trattamenti Mani,Applicazione smalto,Manicure
Trattamenti Mani,Limata Più Applicazione Smalto,Manicure
Trattamenti Mani,Ricostruzione in Acrilico,Epilazione laser
Trattamenti Mani,Ricostruzione in Gel,Epilazione laser
Trattamenti Mani,Copertura acrilico,Manicure
Trattamenti Mani,Copertura Gel,Epilazione laser
Trattamenti Mani,Semipermanente Mani,Epilazione laser
Trattamenti Corpo,Scrub Corpo ,Trattamenti Corpo
Trattamenti Corpo,Scrub Più Massaggio,Trattamenti Corpo
Trattamenti Corpo,Massaggio Totale Relax,Epilazione laser
Trattamenti Corpo,Massaggio Parziale Relax,Ceretta
Trattamenti Corpo,Massaggio Decontratturante,Massaggio
Trattamenti Corpo,Massaggio Anticellulite,Massaggio
Trattamenti Corpo,Massaggio Rassodante,Massaggio
Trattamenti Corpo,Massaggio Linfodrenante,Massaggio
Trattamenti Corpo,Bendaggio,Trattamenti Corpo
Trattamenti Piedi,Pedicure Curativo,Epilazione laser
Trattamenti Piedi,Pedicure Con Paraffina,Pedicure
Trattamenti Piedi,Applicazione smalto,Epilazione laser
Trattamenti Piedi,Limata Più Applicazione Smalto,Epilazione laser
Trattamenti Piedi,Semipermanente Piedi,Epilazione laser
Trattamenti Piedi,Ricostruzione Alluci,Epilazione laser
Trattamento Viso,Pulizia Viso,Trattamenti viso
Trattamento Viso,Trattamento Viso,Barba
Trucco,Trucco Sposa,Makeup/Trucco
Trucco,Trucco Giorno o Sera ,Makeup/Trucco
Solarium,Doccia Solare,Trattamenti Corpo
Solarium,Esafacciale,Balayage
Laser corpo,laser ascelle ,Epilazione laser
Laser corpo,laser inguine,Epilazione laser
Laser corpo,laser gambe,Epilazione laser
Laser corpo,laser braccia,Epilazione laser
Laser corpo,laser gambaletto,Epilazione laser
Laser corpo,laser coscia,Ceretta
Laser corpo,laser viso completo,Epilazione laser
Laser corpo,laser petto uomo,Epilazione laser
Laser corpo,laser schiena uomo,Epilazione laser
Depilazione Donna,laminazione ciglia ,Ciglia/Sopracciglia
Trattamenti Mani,Rimozione semipermanente,Manicure
Trattamenti Corpo,Fango Corpo ,Trattamenti Corpo
Depilazione Donna,Depilazione Labbro*,Ceretta
Depilazione Donna,Depilazione Sopracciglia*,Ciglia/Sopracciglia
Depilazione Donna,Depilazione Inguine*,Ceretta
Depilazione Donna,Depilazione Ascelle*,Ceretta
